Parent Load Case,Top Flange Width,Bottom Flange Width,Web Thickness,Doubler Thickness at Hoist Pin,Doubler Thickness at Load Pin,Fitness 1, Fitness 2
1,91.554,162.123,96.774,33.461,85.072,6.476840079288564,883.9166603
1,136.451,174.904,5.769,9.201,82.508,4.048856175017124,210.2880987
1,145.704,60.423,3.758,4.187,141.234,1.1470838604479152,173.8517656
1,173.109,82.136,89.105,30.424,192.874,6.440131287349843,870.6718997
1,108.471,224.84,20.092,18.651,126.978,5.613728549433123,351.8306382
1,51.004,196.645,72.695,35.218,157.498,6.40133461179079,734.4047756
1,42.434,142.466,92.231,39.827,255.918,6.553027582632316,899.6089303
1,58.538,239.768,14.161,130.261,20.683,5.060736407232601,336.2910932
1,83.903,245.174,90.334,39.019,155.065,6.644206680210824,900.3004648
1,92.43,264.003,84.446,107.606,213.235,6.678240108744337,945.900277
1,188.818,243.694,86.99,43.612,216.242,6.707899846179202,946.5100073
1,84.477,163.361,69.605,37.477,197.817,6.358616804442489,730.3055
1,38.11,211.227,39.013,32.279,117.635,5.897631372401319,465.4752614
1,176.577,242.853,45.056,84.272,162.865,6.2891969618934445,638.7650336
